title,release_date,runtime,budget,revenue,original_language,rating,num_votes
Elysium,2013-08-07,109,115000000,286140700,en,6.6,405882
Empire of the Sun,1987-12-09,153,35000000,66700000,en,7.8,109352
Enchanted,2007-11-20,107,85000000,340487652,en,7.0,169843
End of Days,1999-11-24,121,100000000,211989043,en,5.8,102530
End of Watch,2012-09-20,109,7000000,48126384,en,7.6,218323
Ender's Game,2013-10-23,114,110000000,125537191,en,6.6,216119
Enemy at the Gates,2001-03-14,131,68000000,96976270,en,7.6,231711
Enemy of the State,1998-11-20,132,90000000,250649836,en,7.3,219190
Entrapment,1999-04-29,112,66000000,212404396,en,6.3,102957
Equilibrium,2002-12-06,107,20000000,5359645,en,7.4,302242
Eragon,2006-12-14,104,100000000,249288105,en,5.1,119034
